2019-11-02 21:47:03,446 - MicrosoftAcademic.spiders.key - INFO - 抓取第  0  个关键词为   Polynomial-time reduction
2019-11-02 21:47:03,509 - MicrosoftAcademic.spiders.key - INFO - 抓取第  1  个关键词为   co-NP
2019-11-02 21:47:18,431 - MicrosoftAcademic.spiders.key - INFO - 关键词为   Polynomial-time reduction, 这是第 40页
2019-11-02 21:47:18,431 - MicrosoftAcademic.spiders.key - INFO - 关键词为   Polynomial-time reduction, 这是第 41页
2019-11-02 21:49:42,595 - MicrosoftAcademic.spiders.key - INFO - 抓取第  0  个关键词为   Polynomial-time reduction
2019-11-02 21:49:42,718 - MicrosoftAcademic.spiders.key - INFO - 抓取第  1  个关键词为   co-NP
2019-11-02 21:49:43,167 - MicrosoftAcademic.spiders.key - INFO - 抓取第  0  个关键词为   Polynomial-time reduction, 个数是 404
2019-11-02 21:49:43,168 - MicrosoftAcademic.spiders.key - INFO - 抓取第  0  个关键词为   Polynomial-time reduction, 页数是 41
2019-11-02 21:49:43,174 - MicrosoftAcademic.spiders.key - INFO - 关键词为   Polynomial-time reduction, 这是第 1页
2019-11-02 21:49:43,174 - MicrosoftAcademic.spiders.key - INFO - 关键词为   Polynomial-time reduction, 这是第 2页
2019-11-02 21:49:43,174 - MicrosoftAcademic.spiders.key - INFO - 关键词为   Polynomial-time reduction, 这是第 3页
2019-11-02 21:49:43,175 - MicrosoftAcademic.spiders.key - INFO - 关键词为   Polynomial-time reduction, 这是第 4页
2019-11-02 21:49:43,175 - MicrosoftAcademic.spiders.key - INFO - 关键词为   Polynomial-time reduction, 这是第 5页
2019-11-02 21:49:43,175 - MicrosoftAcademic.spiders.key - INFO - 关键词为   Polynomial-time reduction, 这是第 6页
2019-11-02 21:49:43,175 - MicrosoftAcademic.spiders.key - INFO - 关键词为   Polynomial-time reduction, 这是第 7页
2019-11-02 21:49:43,219 - MicrosoftAcademic.spiders.key - INFO - 关键词为   Polynomial-time reduction, 这是第 8页
2019-11-02 21:49:43,219 - MicrosoftAcademic.spiders.key - INFO - 关键词为   Polynomial-time reduction, 这是第 9页
2019-11-02 21:49:43,219 - MicrosoftAcademic.spiders.key - INFO - 关键词为   Polynomial-time reduction, 这是第 10页
2019-11-02 21:49:43,220 - MicrosoftAcademic.spiders.key - INFO - 关键词为   Polynomial-time reduction, 这是第 11页
2019-11-02 21:49:43,220 - MicrosoftAcademic.spiders.key - INFO - 关键词为   Polynomial-time reduction, 这是第 12页
2019-11-02 21:49:43,220 - MicrosoftAcademic.spiders.key - INFO - 关键词为   Polynomial-time reduction, 这是第 13页
2019-11-02 21:49:43,220 - MicrosoftAcademic.spiders.key - INFO - 关键词为   Polynomial-time reduction, 这是第 14页
2019-11-02 21:49:43,221 - MicrosoftAcademic.spiders.key - INFO - 关键词为   Polynomial-time reduction, 这是第 15页
2019-11-02 21:49:43,221 - MicrosoftAcademic.spiders.key - INFO - 关键词为   Polynomial-time reduction, 这是第 16页
2019-11-02 21:49:43,221 - MicrosoftAcademic.spiders.key - INFO - 关键词为   Polynomial-time reduction, 这是第 17页
2019-11-02 21:49:43,221 - MicrosoftAcademic.spiders.key - INFO - 关键词为   Polynomial-time reduction, 这是第 18页
2019-11-02 21:49:43,222 - MicrosoftAcademic.spiders.key - INFO - 关键词为   Polynomial-time reduction, 这是第 19页
2019-11-02 21:49:43,222 - MicrosoftAcademic.spiders.key - INFO - 关键词为   Polynomial-time reduction, 这是第 20页
2019-11-02 21:49:43,222 - MicrosoftAcademic.spiders.key - INFO - 关键词为   Polynomial-time reduction, 这是第 21页
2019-11-02 21:49:43,222 - MicrosoftAcademic.spiders.key - INFO - 关键词为   Polynomial-time reduction, 这是第 22页
2019-11-02 21:49:43,223 - MicrosoftAcademic.spiders.key - INFO - 关键词为   Polynomial-time reduction, 这是第 23页
2019-11-02 21:49:43,223 - MicrosoftAcademic.spiders.key - INFO - 关键词为   Polynomial-time reduction, 这是第 24页
2019-11-02 21:49:43,223 - MicrosoftAcademic.spiders.key - INFO - 关键词为   Polynomial-time reduction, 这是第 25页
2019-11-02 21:49:43,224 - MicrosoftAcademic.spiders.key - INFO - 关键词为   Polynomial-time reduction, 这是第 26页
2019-11-02 21:49:43,224 - MicrosoftAcademic.spiders.key - INFO - 关键词为   Polynomial-time reduction, 这是第 27页
2019-11-02 21:49:43,224 - MicrosoftAcademic.spiders.key - INFO - 关键词为   Polynomial-time reduction, 这是第 28页
2019-11-02 21:49:43,224 - MicrosoftAcademic.spiders.key - INFO - 关键词为   Polynomial-time reduction, 这是第 29页
2019-11-02 21:49:43,225 - MicrosoftAcademic.spiders.key - INFO - 关键词为   Polynomial-time reduction, 这是第 30页
2019-11-02 21:49:43,225 - MicrosoftAcademic.spiders.key - INFO - 关键词为   Polynomial-time reduction, 这是第 31页
2019-11-02 21:49:43,225 - MicrosoftAcademic.spiders.key - INFO - 关键词为   Polynomial-time reduction, 这是第 32页
2019-11-02 21:49:43,225 - MicrosoftAcademic.spiders.key - INFO - 关键词为   Polynomial-time reduction, 这是第 33页
2019-11-02 21:49:43,226 - MicrosoftAcademic.spiders.key - INFO - 关键词为   Polynomial-time reduction, 这是第 34页
2019-11-02 21:49:43,226 - MicrosoftAcademic.spiders.key - INFO - 关键词为   Polynomial-time reduction, 这是第 35页
2019-11-02 21:49:43,226 - MicrosoftAcademic.spiders.key - INFO - 关键词为   Polynomial-time reduction, 这是第 36页
2019-11-02 21:49:43,226 - MicrosoftAcademic.spiders.key - INFO - 关键词为   Polynomial-time reduction, 这是第 37页
2019-11-02 21:49:43,227 - MicrosoftAcademic.spiders.key - INFO - 关键词为   Polynomial-time reduction, 这是第 38页
2019-11-02 21:49:43,227 - MicrosoftAcademic.spiders.key - INFO - 关键词为   Polynomial-time reduction, 这是第 39页
2019-11-02 21:49:43,227 - MicrosoftAcademic.spiders.key - INFO - 关键词为   Polynomial-time reduction, 这是第 40页
2019-11-02 21:49:43,228 - MicrosoftAcademic.spiders.key - INFO - 关键词为   Polynomial-time reduction, 这是第 41页
